,time,value
197,197,-2.6501161900384336
198,198,-1.8990863609156392
199,199,-2.1153450086234336
200,200,-1.8725085973030957
201,201,-2.2228195135553617
202,202,-3.5667562612320083
203,203,-2.025758527209061
204,204,-0.581454367352402
205,205,-0.23306814376313018
206,206,0.7898717866176321
207,207,1.9650458283295256
208,208,2.1196692141581845
209,209,2.363625628543512
210,210,2.9610133943135395
211,211,3.1460530563014046
212,212,3.293412214223733
213,213,3.10056267383757
214,214,0.956601856771675
215,215,0.7099286039067287
216,216,0.03735948030674574
217,217,-0.44563888543144053
218,218,-0.6221059809500156
219,219,-1.467310748158944
220,220,-1.0423426366051738
221,221,-1.2334652893471396
222,222,-1.8196090613524096
223,223,-1.1651870442488677
224,224,0.5182682115520543
225,225,-0.03179881306270438
226,226,0.22506044302768924
227,227,-0.5008296467996012
228,228,0.1736635079889408
229,229,0.857200680966632
230,230,1.610806435657194
231,231,1.3322294016144292
232,232,2.8036881262884883
233,233,1.102773304663625
234,234,1.1927969780248777
235,235,1.7832191747226211
236,236,1.6618231715466105
237,237,-0.8220621199378961
238,238,-0.45744848493887796
239,239,-1.055911402291135
240,240,-2.438864761982239
241,241,-4.247339385114713
242,242,-5.064906893162098
243,243,-6.0977168186896105
244,244,-5.7383569584506064
245,245,-5.735869514316692
246,246,-5.7973280408790675
247,247,-4.225820268380178
248,248,-5.207470613630691
249,249,-5.138820521633187
250,250,-6.460996549819365
251,251,-5.065071469824964
252,252,-4.856290069458376
253,253,-4.1817847917509
254,254,-3.5275426259366194
255,255,-2.94855932651277
256,256,-2.9906343989202364
257,257,-2.92406560689177
258,258,-4.159468958804393
259,259,-3.247536978395681
260,260,-5.011606674140866
261,261,-5.604149175804602
262,262,-6.012301849170877
263,263,-5.111729934608712
264,264,-5.3987500896109495
265,265,-4.938516544234828
266,266,-4.009851861942495
267,267,-4.365112411576575
268,268,-6.317692788915365
269,269,-7.12721871093056
270,270,-5.88268037251496
271,271,-5.615329899610506
272,272,-6.949806819950264
273,273,-6.564196426188586
274,274,-6.881535481297504
275,275,-7.191437357264629
276,276,-6.53353293262227
277,277,-7.659103038997555
278,278,-7.647063341089492
279,279,-6.904529845367684
280,280,-6.637066076186982
281,281,-6.452821352187794
282,282,-6.369234744378505
283,283,-5.50634012289246
284,284,-5.343349085037348
285,285,-6.897607386585042
286,286,-7.3323110730843135
287,287,-6.8354353791925995
288,288,-6.817100654446886
289,289,-6.053476498622625
290,290,-6.3896994019847515
291,291,-8.011287452056978
292,292,-9.676320154363385
293,293,-9.119331909847936
294,294,-9.746282952266068
295,295,-11.00910254251898
296,296,-9.67465846266443
297,297,-9.229236103767402
298,298,-9.49151418461353
299,299,-9.85514814193255
300,300,-9.846877975244638
301,301,-8.097288009845704
302,302,-7.417930659900651
303,303,-6.4230468279676165
304,304,-5.475769177632722
305,305,-5.184570044220058
306,306,-4.897602613537189
307,307,-4.39484386524025
308,308,-4.258142570934366
309,309,-4.969640669107614
310,310,-6.129854513516312
311,311,-8.219225365453712
312,312,-8.673568268426486
313,313,-8.961817253581899
314,314,-8.861373507544169
315,315,-9.437409538203031
316,316,-8.427150942371371
317,317,-8.322520930410958
318,318,-7.8964331882223355
319,319,-7.947286336221921
320,320,-6.797288277543677
321,321,-7.421396640952815
322,322,-7.129494423922005
323,323,-8.084908362330903
324,324,-7.011011668650166
325,325,-7.167509591611424
326,326,-8.582873951363151
327,327,-9.086023930497191
328,328,-8.797709339673698
329,329,-9.35482792709979
330,330,-8.476168034996117
331,331,-7.95451940978886
332,332,-9.522447392762569
333,333,-10.309713346352737
334,334,-9.820427522917129
335,335,-12.050053822008463
336,336,-10.551112413461926
337,337,-11.717106684908007
338,338,-9.970065887626237
339,339,-11.64193620483366
340,340,-12.339863146645518
341,341,-10.279705855735529
342,342,-10.564338391025489
343,343,-10.822254742530431
344,344,-10.76675893721035
345,345,-10.91305990017853
346,346,-11.485539935066164
347,347,-11.416945219509785
348,348,-10.37484891826093
349,349,-10.006635976263361
350,350,-10.89715173721874
351,351,-10.488774185583745
352,352,-9.098988639187143
353,353,-8.81500979558661
354,354,-8.700113014967616
355,355,-6.9153280757586995
356,356,-7.030866250189808
357,357,-7.976528058732491
358,358,-6.497296920676633
359,359,-7.042352750120853
360,360,-6.916716360394817
361,361,-7.05118567966546
362,362,-5.322773942481149
363,363,-7.045097244298695
364,364,-6.9269746339942
365,365,-6.575139837388093
366,366,-6.632320235951778
367,367,-4.734801968092675
368,368,-2.7724036370796763
369,369,-3.4401749281557894
370,370,-2.454150268546077
371,371,-1.8635133957017398
372,372,-1.4155647669137672
373,373,-2.2284372357405577
374,374,-3.6705733725900966
375,375,-3.715588991757023
376,376,-3.8952736713480327
377,377,-4.581149110663642
378,378,-5.508101681006964
379,379,-2.5785338749221385
380,380,-3.323966989456104
381,381,-4.285463403020708
382,382,-3.6316851994901853
383,383,-4.958137071333807
384,384,-3.9889040987111883
385,385,-4.457320141704899
386,386,-5.889154460151166
387,387,-4.4803240450835355
388,388,-5.269995128130934
389,389,-6.549582137167514
390,390,-6.592146130957839
391,391,-8.446564663950038
392,392,-7.953743794322125
393,393,-9.194015957336077
394,394,-10.65389827040681
395,395,-10.17124086501489
396,396,-9.356234738696665
397,397,-8.510091535867687
398,398,-8.375641091895556
399,399,-8.599240204205659
400,400,-7.051741371322911
401,401,-8.354228907285075
402,402,-8.573398124198857
403,403,-9.859292436582901
404,404,-10.899830339778449
405,405,-9.543532293461203
406,406,-10.960724991781042
407,407,-10.639182050702342
408,408,-9.136547893769333
409,409,-8.83282996686293
410,410,-9.337056006846995
411,411,-10.663836733277277
412,412,-10.98366586136211
413,413,-11.324321931319346
414,414,-12.220755417998147
415,415,-12.775065352970145
416,416,-11.27495292654164
417,417,-12.181132449888313
418,418,-9.879923974902063
419,419,-9.082133982250252
420,420,-8.336555358054182
421,421,-8.871888800282889
422,422,-9.272940628127017
423,423,-9.066115428923693
424,424,-9.544288626913993
425,425,-9.066721631697483
426,426,-9.10951031508066
427,427,-7.758889760425987
428,428,-7.33138469107575
429,429,-6.092622696834562
430,430,-6.397537918336748
431,431,-5.67943965769343
432,432,-5.17935064038267
433,433,-3.3887010923554968
434,434,-3.8487647969930334
435,435,-4.756856055344777
436,436,-4.008282534041036
437,437,-3.7116959195501495
438,438,-3.458782935050352
439,439,-3.459694832614222
440,440,-3.8602142268531905
441,441,-5.349551828872008
442,442,-5.2843369293119125
443,443,-4.361499178151745
444,444,-4.138151254621293
445,445,-3.1090690943064594
446,446,-1.5680401630941234
447,447,-0.5964091341495527
448,448,0.02812921591604134
449,449,0.6429152123238402
450,450,-0.38298035333895
451,451,-0.6531511100131243
452,452,-1.1638187096506045
453,453,-0.851742383031117
454,454,-1.2383451548606053
455,455,-1.3441302037262144
456,456,-1.2521907888108745
457,457,-1.5707802258310797
458,458,-2.63952372447936
459,459,-3.4914238341864294
460,460,-2.853961856408099
461,461,-3.574934961224889
462,462,-3.7077523388220497
463,463,-4.532241970064198
464,464,-4.719139352723164
465,465,-4.551854736670293
466,466,-5.300472429666359
467,467,-4.873669349852026
468,468,-5.998649233959212
469,469,-6.057717415917518
470,470,-5.82605928453196
471,471,-6.139252441619779
472,472,-6.258548496439377
473,473,-6.466880641296978
474,474,-6.330035198204381
475,475,-6.49744889342435
476,476,-6.261124673385947
477,477,-5.99409548803342
478,478,-5.193056366849583
479,479,-1.6625281365595006
480,480,-1.0036183929336402
481,481,0.37080949327379376
482,482,0.5900338037522791
483,483,0.15129206943275286
484,484,-0.021200872485418132
485,485,0.8752392456052863
486,486,0.7551465952688682
487,487,0.21689050246621322
488,488,1.3115772354796773
489,489,1.0678866101218936
490,490,1.7310074406836988
491,491,2.2287087419833003
492,492,3.438485111774994
493,493,4.433029481319383
494,494,6.87371254745247
495,495,5.281738232734293
496,496,5.823196383007637
497,497,4.497952207950835
498,498,2.5166716063757164
499,499,4.4176494081735616
